SECTION_DE,SECTION_LE,ROAD_NUMBE,ROAD_HIERA,NO_OF_LANE,SECTION_WI,SPEED_LIMI,ROAD_CLASS,ROAD_NAME,DISTRICT_N,WARD_NAME,NSG_USRN,EAST_SUSSE,Section_ID,X,Y,Route_ID,Zone
St Pancras Gardens,62,U5119,M105,2,6.5,30,UU,ST PANCRAS GARDENS,1 Lewes,Lewes,23300009,4b,1440U5119_/0040,0,91,218,7
St Pancras Road (Part one way),267,U5119,M105,2,6.5,30,UU,ST PANCRAS ROAD,1 Lewes,Lewes,23300005,4b,1440U5119_/0030,0,1,882,7
St Pancras' Green,173,U5100,M105,2,6.5,60,RU,ST PANCRAS GREEN,1 Lewes,Kingston Near Lewes,23300983,4b,1440U5100_/0040,0,671,961,7
ST PETERS AVENUE,243,U5853,M105,2,6.5,30,UU,ST PETERS AVENUE,1 Lewes,Telscombe,23300231,4b,1440U5853_/0010,0,1,716,8
ST PETERS CLOSE,41,U5444,M105,2,6.5,30,UU,ST PETERS CLOSE,1 Lewes,Seaford,23300871,4b,1440U5444_/0015,0,901,829,10
St Peters Place,64,U5099,M105,2,6.5,30,UU,ST PETERS PLACE,1 Lewes,Lewes,23301022,4b,1440U5099_/0010,0,981,125,7
St Swithuns Lane,39,U5122,M105,2,6.5,30,UU,ST SWITHUNS LANE,1 Lewes,Lewes,23301446,4b,1440U5122_/0060,0,1,405,7
St Swithuns Terrace,92,U5122,M105,2,6.5,30,UU,ST SWITHUNS TERRACE,1 Lewes,Lewes,23300012,4b,1440U5122_/0090,0,996,941,7
ST. JOHNS VIEW,132,U5474,M105,2,6.5,30,UU,ST JOHNS ROAD,1 Lewes,Seaford,23301162,4b,1440U5474_/0020,0,6,671,10
St.Johns Bank,44,U5020,M105,2,6.5,60,RU,ST JOHNS BANK,1 Lewes,Chailey,23300457,4b,1440U5020_/0010,0,721,877,4
STAFFORD ROAD,290,U5497,M105,2,6.5,30,UU,STAFFORD ROAD,1 Lewes,Seaford,23300707,4b,1440U5497_/0100,0,1,659,10
STAFFORD ROAD,345,U5439,M105,2,6.5,30,UU,STAFFORD ROAD,1 Lewes,Seaford,23300707,4b,1440U5439_/0010,0,996,357,10
STANLEY ROAD,58,U5833,M105,2,6.5,30,UU,STANLEY ROAD,1 Lewes,Telscombe,23300340,4b,1440U5833_/0035,0,6,740,8
STANLEY ROAD,241,U5833,M105,2,6.5,30,UU,STANLEY ROAD,1 Lewes,Peacehaven,23300340,4b,1440U5833_/0030,0,1,735,8
Stansfield Road,306,U5107,M105,2,6.5,30,UU,STANSFIELD ROAD,1 Lewes,Lewes,23300058,4b,1440U5107_/0180,0,1,894,7
Star Lane,113,U7728,M103,2,6.5,60,RU,STAR LANE,3 Wealden,Alfriston,42701602,3b,1440U7728_/0060,0,1,83,11
Station Close,85,U5917,M105,2,6.5,60,RU,STATION CLOSE,1 Lewes,Plumpton,23300522,4b,1440U5917_/0020,0,106,362,5
STATION ROAD,407,U5779,M105,2,6.5,30,UU,STATION ROAD,1 Lewes,Newhaven,23300171,4b,1440U5779_/0050,0,1,836,9
