Section_ID,Chainage,_1000,_2000,_3000,_4000,SectionID,Direction,StartCh,EndCh,Length
Section,363.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,364.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,365.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,366.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,367.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,368.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,369.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,370.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,371.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,372.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,373.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,374.0,0,0,7,7,1440U5060_/0010,R,220,240,20
Section,374.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,375.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,376.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,377.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,378.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,379.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,380.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,381.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,382.0,0,0,7,7,1440U5060_/0010,R,240,260,20
Section,383.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,384.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,385.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,386.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,387.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,388.0,0,0,0,0,1440U5060_/0010,R,240,260,20
Section,389.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,390.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,391.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,392.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,393.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,394.0,0,0,0,7,1440U5060_/0010,R,240,260,20
Section,394.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,395.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,396.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,397.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,398.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,399.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,400.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,401.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,402.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,403.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,404.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,405.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,406.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,407.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,408.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,409.0,0,0,0,7,1440U5060_/0010,R,260,280,20
Section,410.0,0,0,0,7,1440U5060_/0010,R,260,280,20
